行政區,KML,Wiki,差異
三重県,20,84,-64
京都府,40,88,-48
佐賀県,34,61,-27
兵庫県,22,173,-151
北海道,242,995,-753
千葉県,29,125,-96
和歌山県,49,70,-21
埼玉県,2,107,-105
大分県,28,87,-59
大阪府,52,128,-76
奈良県,17,92,-75
宮城県,68,163,-95
宮崎県,33,67,-34
富山県,32,85,-53
山口県,27,88,-61
山形県,17,89,-72
山梨県,3,58,-55
岐阜県,28,110,-82
岡山県,44,93,-49
岩手県,24,194,-170
島根県,54,128,-74
広島県,38,134,-96
徳島県,21,58,-37
愛媛県,39,84,-45
愛知県,40,93,-53
新潟県,0,79,-79
未分類,0,0,0
未知,47,0,47
東京都,143,193,-50
栃木県,12,100,-88
沖縄県,0,269,-269
滋賀県,0,31,-31
熊本県,55,120,-65
石川県,35,89,-54
神奈川県,45,119,-74
福井県,29,116,-87
福岡県,83,150,-67
福島県,31,182,-151
秋田県,16,110,-94
群馬県,0,117,-117
茨城県,45,194,-149
長崎県,41,148,-107
長野県,22,118,-96
青森県,45,163,-118
静岡県,28,83,-55
香川県,10,75,-65
高知県,35,71,-36
鳥取県,53,132,-79
鹿児島県,72,199,-127
